timestamp,workflow,run_number,pr_number,branch,duration_s,energy_wh,co2_g,cpu_avg,cpu_peak,mem_avg_pct,mem_peak_mb,disk_read_mb,disk_write_mb,net_sent_mb,net_recv_mb
2026-03-23T19:53:01.397614+00:00,,,test-local,local,8.5,0.0472,0.0126,1.46,2.1,43.93,13739.1,0.02,2.64,0.04,0.11
2026-03-23T19:55:18.903457+00:00,local-test,1,test-local,local,8.5,0.0472,0.0126,2.3,7.1,43.77,13678.3,0.08,37.75,0.04,0.24
2026-03-23T19:57:08.610314+00:00,local-test,1,test-local,local,8.5,0.0472,0.0126,0.93,1.7,43.96,13732.1,0.0,2.35,0.04,0.07
